LOT,OPERATION,OUT_DATE
A528920B,179582,2025-08-19 02:43:01
A528920B,214155,2025-08-19 02:43:01
A528920B,146197,2025-08-19 02:43:02
A528920B,256934,2025-08-19 02:43:02
A528920B,257606,2025-08-19 02:50:48
A528920B,245933,2025-08-19 03:36:30
A528920B,210934,2025-08-19 03:53:44
A528920B,211825,2025-08-19 03:53:44
A528920B,194489,2025-08-19 06:01:59
A528920B,146197,2025-08-19 12:33:44
A528920B,214155,2025-08-19 12:33:44
A528920B,239626,2025-08-19 12:33:44
A528920B,256934,2025-08-19 12:33:44
A528920B,210943,2025-08-19 12:56:27
A528920B,245935,2025-08-19 13:37:47
A528920B,179584,2025-08-19 13:52:07
A528920B,258212,2025-08-19 14:29:36
A528920B,204631,2025-08-19 16:23:17
A528920B,257607,2025-08-19 16:36:12
A528920B,162203,2025-08-19 16:49:15
A528920B,249265,2025-08-19 16:49:15
A528920B,263958,2025-08-19 16:49:15
A528920B,162204,2025-08-19 17:33:43
A528920B,162205,2025-08-19 17:54:14
A528920B,162206,2025-08-19 18:35:48
A528920B,231193,2025-08-19 18:36:03
A528920B,265241,2025-08-20 10:06:13
A528920B,241615,2025-08-20 12:08:24
A528920B,236877,2025-08-20 12:26:35
A528920B,194813,2025-08-20 12:38:35
A528920B,194713,2025-08-20 13:24:17
A528920B,230108,2025-08-20 13:49:51
A528920B,232826,2025-08-20 13:49:51
A528920B,194814,2025-08-20 14:10:13
A528920B,194714,2025-08-20 14:22:14
A528920B,194815,2025-08-20 15:52:25
A528920B,249576,2025-08-20 16:37:39
A528920B,194816,2025-08-20 16:49:07
A528920B,194715,2025-08-20 17:02:07
A528920B,194817,2025-08-20 18:32:18
A528920B,194476,2025-08-20 19:22:40
A528920B,232842,2025-08-20 19:35:22
A528920B,232739,2025-08-20 19:45:06
A528920B,241663,2025-08-20 19:56:50
A528920B,146197,2025-08-20 20:09:53
A528920B,214155,2025-08-20 20:09:53
A528920B,241614,2025-08-20 20:09:53
A528920B,256934,2025-08-20 20:09:53
A528920B,233895,2025-08-20 20:18:34
A528920B,233896,2025-08-20 20:22:03
A528920B,233391,2025-08-20 20:38:57
A528920B,233392,2025-08-20 21:00:58
A528920B,233171,2025-08-20 21:23:43
A528920B,240707,2025-08-20 21:23:43
A528920B,233573,2025-08-20 21:29:51
A528920B,241404,2025-08-20 21:29:51
A528920B,245934,2025-08-20 22:05:47
A528920B,266376,2025-08-20 22:16:27
